emp_no,gender,marital_status,age_band,age,department,education,education_field,job_role,business_travel,employee_count,attrition,attrition_label,job_satisfaction,active_employee,attrition,,,,
10041,Male,Divorced,35 - 44,35,R&D,Associates Degree,Other,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10042,Female,Divorced,25 - 34,27,R&D,Master's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10043,Male,Single,25 - 34,26,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10044,Male,Single,25 - 34,27,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Frequently,1,No,Current Employees,3,1,0,,,,
10045,Female,Single,25 - 34,30,R&D,Associates Degree,Medical,Laboratory Technician,Travel_Frequently,1,No,Current Employees,4,1,0,,,,
10046,Female,Married,35 - 44,41,R&D,Bachelor's Degree,Technical Degree,Research Director,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10047,Male,Single,25 - 34,34,Sales,Master's Degree,Marketing,Sales Executive,Non-Travel,1,No,Current Employees,3,1,0,,,,
10048,Male,Married,35 - 44,37,R&D,Associates Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10049,Male,Single,45 - 54,46,Sales,Master's Degree,Marketing,Sales Executive,Travel_Frequently,1,No,Current Employees,4,1,0,,,,
10050,Male,Married,35 - 44,35,R&D,High School,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10051,Male,Single,45 - 54,48,R&D,Associates Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10052,Male,Single,25 - 34,28,R&D,Master's Degree,Technical Degree,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10053,Female,Divorced,35 - 44,44,Sales,Doctoral Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10054,Male,Married,35 - 44,35,R&D,Associates Degree,Medical,Healthcare Representative,Non-Travel,1,No,Current Employees,1,1,0,,,,
10055,Female,Married,25 - 34,26,Sales,Bachelor's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10056,Female,Single,25 - 34,33,R&D,Associates Degree,Life Sciences,Research Director,Travel_Frequently,1,No,Current Employees,4,1,0,,,,
10057,Male,Married,35 - 44,35,Sales,Doctoral Degree,Life Sciences,Sales Executive,Travel_Frequently,1,No,Current Employees,1,1,0,,,,
10058,Female,Married,35 - 44,35,R&D,Master's Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10059,Male,Divorced,25 - 34,31,R&D,Master's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10060,Male,Divorced,35 - 44,37,R&D,Master's Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10061,Male,Married,25 - 34,32,R&D,Bachelor's Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10062,Female,Single,35 - 44,38,R&D,Doctoral Degree,Life Sciences,Laboratory Technician,Travel_Frequently,1,No,Current Employees,4,1,0,,,,
10063,Female,Divorced,45 - 54,50,R&D,Associates Degree,Medical,Research Director,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10064,Female,Single,Over 55,59,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10065,Female,Divorced,35 - 44,36,R&D,Bachelor's Degree,Technical Degree,Healthcare Representative,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10066,Female,Divorced,Over 55,55,R&D,Bachelor's Degree,Medical,Manager,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10067,Male,Single,35 - 44,36,R&D,Bachelor's Degree,Life Sciences,Manufacturing Director,Travel_Frequently,1,No,Current Employees,2,1,0,,,,
10068,Male,Divorced,45 - 54,45,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10069,Male,Married,35 - 44,35,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Frequently,1,No,Current Employees,1,1,0,,,,
10070,Male,Married,35 - 44,36,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10071,Female,Single,Over 55,59,Sales,High School,Life Sciences,Sales Executive,Travel_Frequently,1,No,Current Employees,3,1,0,,,,
10072,Male,Married,25 - 34,29,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10073,Male,Single,25 - 34,31,R&D,Master's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10074,Male,Married,25 - 34,32,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10075,Female,Married,35 - 44,36,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10076,Female,Single,25 - 34,31,R&D,Master's Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10077,Male,Single,35 - 44,35,Sales,Master's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10078,Male,Married,45 - 54,45,R&D,Master's Degree,Other,Research Director,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10079,Male,Single,35 - 44,37,R&D,Master's Degree,Medical,Research Director,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10080,Male,Divorced,45 - 54,46,HR,Associates Degree,Medical,Human Resources,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10081,Male,Married,25 - 34,30,R&D,High School,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10082,Male,Single,35 - 44,35,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10083,Male,Married,Over 55,55,Sales,Associates Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10084,Female,Divorced,35 - 44,38,R&D,Bachelor's Degree,Medical,Research Scientist,Non-Travel,1,No,Current Employees,4,1,0,,,,
10085,Male,Married,25 - 34,34,R&D,Associates Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10086,Male,Single,Over 55,56,R&D,Bachelor's Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10087,Male,Divorced,Under 25,23,Sales,High School,Technical Degree,Sales Representative,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10088,Male,Married,45 - 54,51,R&D,Master's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10089,Male,Married,25 - 34,30,R&D,Bachelor's Degree,Life Sciences,Healthcare Representative,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10090,Male,Single,45 - 54,46,Sales,Associates Degree,Medical,Sales Executive,Travel_Rarely,1,Yes,Ex-Employees,4,0,1,,,,
10091,Male,Married,35 - 44,40,R&D,Master's Degree,Life Sciences,Healthcare Representative,Travel_Frequently,1,No,Current Employees,2,1,0,,,,
10092,Male,Single,45 - 54,51,Sales,Master's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10093,Female,Divorced,25 - 34,30,Sales,Associates Degree,Medical,Sales Executive,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10094,Male,Married,45 - 54,46,R&D,Bachelor's Degree,Medical,Healthcare Representative,Travel_Frequently,1,No,Current Employees,1,1,0,,,,
10095,Male,Single,25 - 34,32,Sales,Master's Degree,Medical,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10096,Female,Married,45 - 54,54,R&D,Master's Degree,Technical Degree,Research Director,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10097,Female,Married,Under 25,24,Sales,Associates Degree,Other,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10098,Male,Married,25 - 34,28,Sales,Bachelor's Degree,Medical,Sales Executive,Non-Travel,1,No,Current Employees,3,1,0,,,,
10099,Male,Single,Over 55,58,Sales,Master's Degree,Medical,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10100,Male,Married,35 - 44,44,R&D,Bachelor's Degree,Medical,Laboratory Technician,Non-Travel,1,No,Current Employees,2,1,0,,,,
10101,Male,Divorced,35 - 44,37,HR,Master's Degree,Human Resources,Human Resources,Travel_Rarely,1,Yes,Ex-Employees,1,0,1,,,,
10102,Male,Single,25 - 34,32,R&D,High School,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10103,Female,Single,Under 25,20,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Frequently,1,Yes,Ex-Employees,4,0,1,,,,
10104,Female,Single,25 - 34,34,R&D,Master's Degree,Other,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10105,Male,Divorced,35 - 44,37,R&D,Associates Degree,Life Sciences,Healthcare Representative,Non-Travel,1,No,Current Employees,4,1,0,,,,
10106,Female,Married,Over 55,59,HR,Master's Degree,Human Resources,Manager,Non-Travel,1,No,Current Employees,4,1,0,,,,
10107,Female,Married,45 - 54,50,R&D,Bachelor's Degree,Life Sciences,Research Director,Travel_Frequently,1,No,Current Employees,2,1,0,,,,
10108,Male,Single,25 - 34,25,Sales,Bachelor's Degree,Marketing,Sales Executive,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10109,Male,Married,25 - 34,25,R&D,High School,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10110,Female,Single,Under 25,22,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10111,Female,Single,45 - 54,51,R&D,Master's Degree,Medical,Healthcare Representative,Travel_Frequently,1,No,Current Employees,1,1,0,,,,
10112,Male,Single,25 - 34,34,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Frequently,1,Yes,Ex-Employees,3,0,1,,,,
10113,Female,Single,45 - 54,54,HR,Bachelor's Degree,Human Resources,Manager,Non-Travel,1,No,Current Employees,4,1,0,,,,
10114,Male,Married,Under 25,24,R&D,High School,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10115,Female,Divorced,25 - 34,34,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10116,Male,Single,35 - 44,37,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10117,Female,Single,25 - 34,34,R&D,Bachelor's Degree,Medical,Manager,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10118,Female,Married,35 - 44,36,Sales,Associates Degree,Technical Degree,Sales Executive,Travel_Frequently,1,No,Current Employees,4,1,0,,,,
10119,Female,Divorced,35 - 44,36,R&D,Associates Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10120,Male,Married,35 - 44,43,Sales,Associates Degree,Life Sciences,Manager,Travel_Frequently,1,No,Current Employees,4,1,0,,,,
10121,Male,Divorced,25 - 34,30,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Frequently,1,No,Current Employees,3,1,0,,,,
10122,Male,Married,25 - 34,33,Sales,Associates Degree,Marketing,Sales Executive,Non-Travel,1,No,Current Employees,2,1,0,,,,
10123,Female,Married,Over 55,56,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,Yes,Ex-Employees,2,0,1,,,,
10124,Male,Single,45 - 54,51,R&D,Bachelor's Degree,Life Sciences,Research Director,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10125,Male,Married,25 - 34,31,Sales,Master's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10126,Female,Married,25 - 34,26,R&D,Bachelor's Degree,Other,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10127,Female,Married,Over 55,58,R&D,Master's Degree,Medical,Healthcare Representative,Travel_Rarely,1,Yes,Ex-Employees,4,0,1,,,,
10128,Male,Single,Under 25,19,Sales,High School,Marketing,Sales Representative,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10129,Male,Married,Under 25,22,R&D,High School,Technical Degree,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10130,Female,Married,45 - 54,49,R&D,Master's Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10131,Female,Single,35 - 44,43,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Frequently,1,No,Current Employees,3,1,0,,,,
10132,Female,Single,45 - 54,50,Sales,Bachelor's Degree,Marketing,Sales Executive,Travel_Frequently,1,No,Current Employees,4,1,0,,,,
10133,Female,Married,25 - 34,31,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10134,Male,Divorced,35 - 44,41,Sales,High School,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10135,Female,Married,25 - 34,26,HR,High School,Life Sciences,Human Resources,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10136,Male,Divorced,35 - 44,36,R&D,Associates Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10137,Male,Single,45 - 54,51,R&D,Master's Degree,Life Sciences,Manufacturing Director,Travel_Frequently,1,Yes,Ex-Employees,4,0,1,,,,
10138,Female,Married,35 - 44,39,Sales,Master's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10139,Male,Married,25 - 34,25,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10140,Male,Married,25 - 34,30,HR,Bachelor's Degree,Human Resources,Human Resources,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10141,Female,Single,25 - 34,32,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,1,0,1,,,,
10142,Male,Single,45 - 54,45,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10143,Female,Single,35 - 44,38,R&D,Doctoral Degree,Technical Degree,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10144,Female,Single,25 - 34,30,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10145,Male,Divorced,25 - 34,32,Sales,Associates Degree,Medical,Sales Executive,Travel_Frequently,1,No,Current Employees,4,1,0,,,,
10146,Female,Divorced,25 - 34,30,R&D,Bachelor's Degree,Technical Degree,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10147,Male,Single,25 - 34,30,R&D,High School,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10148,Male,Divorced,35 - 44,41,R&D,Bachelor's Degree,Life Sciences,Manager,Travel_Frequently,1,No,Current Employees,1,1,0,,,,
10149,Male,Married,35 - 44,41,R&D,Master's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10150,Female,Single,Under 25,19,R&D,High School,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10151,Female,Divorced,35 - 44,40,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Frequently,1,No,Current Employees,2,1,0,,,,
10152,Male,Married,35 - 44,35,Sales,Doctoral Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10153,Male,Married,45 - 54,53,Sales,Associates Degree,Marketing,Sales Representative,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10154,Male,Divorced,45 - 54,45,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10155,Female,Single,25 - 34,32,Sales,Bachelor's Degree,Marketing,Sales Executive,Travel_Frequently,1,No,Current Employees,4,1,0,,,,
10156,Male,Married,25 - 34,29,R&D,High School,Technical Degree,Manufacturing Director,Non-Travel,1,No,Current Employees,3,1,0,,,,
10157,Male,Married,45 - 54,51,R&D,Master's Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10158,Female,Married,Over 55,58,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10159,Male,Married,35 - 44,40,Sales,Master's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10160,Female,Married,25 - 34,34,Sales,Master's Degree,Marketing,Sales Representative,Travel_Frequently,1,No,Current Employees,3,1,0,,,,
10161,Male,Married,Under 25,22,R&D,High School,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10162,Male,Divorced,25 - 34,27,R&D,Bachelor's Degree,Medical,Research Scientist,Non-Travel,1,No,Current Employees,2,1,0,,,,
10163,Male,Married,25 - 34,28,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10164,Male,Divorced,Over 55,57,R&D,Associates Degree,Life Sciences,Healthcare Representative,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10165,Male,Divorced,25 - 34,27,R&D,Bachelor's Degree,Medical,Research Scientist,Non-Travel,1,No,Current Employees,3,1,0,,,,
10166,Female,Single,45 - 54,50,R&D,Bachelor's Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10167,Male,Divorced,35 - 44,41,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10168,Female,Married,25 - 34,30,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10169,Female,Single,35 - 44,38,Sales,Master's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10170,Male,Single,25 - 34,32,R&D,Doctoral Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10171,Male,Married,25 - 34,27,R&D,Bachelor's Degree,Technical Degree,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10172,Female,Single,Under 25,19,Sales,High School,Technical Degree,Sales Representative,Travel_Frequently,1,Yes,Ex-Employees,1,0,1,,,,
10173,Male,Single,35 - 44,36,R&D,Associates Degree,Medical,Laboratory Technician,Travel_Frequently,1,No,Current Employees,2,1,0,,,,
10174,Male,Divorced,25 - 34,30,R&D,Bachelor's Degree,Medical,Laboratory Technician,Non-Travel,1,No,Current Employees,1,1,0,,,,
10175,Female,Divorced,45 - 54,45,Sales,Associates Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10176,Female,Divorced,Over 55,56,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10177,Male,Single,25 - 34,33,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10178,Male,Single,Under 25,19,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,4,0,1,,,,
10179,Female,Divorced,45 - 54,46,Sales,Associates Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10180,Female,Single,35 - 44,38,R&D,Associates Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10181,Female,Married,25 - 34,31,R&D,High School,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10182,Female,Single,25 - 34,34,R&D,Associates Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10183,Female,Single,35 - 44,41,Sales,Associates Degree,Marketing,Sales Representative,Travel_Rarely,1,Yes,Ex-Employees,2,0,1,,,,
10184,Male,Married,45 - 54,50,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10185,Female,Divorced,45 - 54,53,R&D,Associates Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10186,Female,Married,25 - 34,33,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10187,Female,Married,35 - 44,40,R&D,High School,Medical,Manager,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10188,Male,Single,Over 55,55,R&D,Master's Degree,Medical,Research Director,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10189,Male,Married,25 - 34,34,R&D,High School,Life Sciences,Manufacturing Director,Travel_Frequently,1,No,Current Employees,3,1,0,,,,
10190,Female,Single,45 - 54,51,R&D,Bachelor's Degree,Medical,Healthcare Representative,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10191,Male,Married,45 - 54,52,R&D,Master's Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10192,Female,Single,25 - 34,27,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10193,Male,Married,35 - 44,35,R&D,Associates Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
